signal_id,signal_date,workflow_id,signal_type,stakeholder_team,pain_score,urgency_score,requirements_clarity,sample_note
SIG-0183,2026-03-16,AGT-007,quality review,Customer success,8.1,5.0,4.4,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0184,2026-03-17,AGT-006,stakeholder interview,Compliance,7.1,6.4,4.7,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0185,2026-03-18,AGT-007,sales note,Customer success,6.3,7.5,6.5,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0186,2026-03-19,AGT-007,operations retro,Customer success,8.3,8.2,5.2,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0187,2026-03-20,AGT-003,sales note,Growth product,8.9,7.0,5.6,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0188,2026-03-21,AGT-003,sales note,Growth product,7.4,5.8,8.1,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0189,2026-03-22,AGT-006,stakeholder interview,Compliance,8.6,6.7,4.1,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0190,2026-03-23,AGT-005,sales note,Implementation,6.5,9.7,5.0,Implementation manager needs data delivery onboarding agent to reduce manual handoff and preserve review control.
SIG-0191,2026-03-24,AGT-006,training request,Compliance,7.4,5.3,3.8,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0192,2026-03-25,AGT-006,support escalation,Compliance,4.8,6.0,6.5,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0193,2026-03-26,AGT-008,sales note,Data operations,10,8.2,6.7,Data operations lead needs data quality drift digest agent to reduce manual handoff and preserve review control.
SIG-0194,2026-03-27,AGT-009,operations retro,Sales,8.6,6.6,7.8,Sales leader needs sales discovery call synthesizer to reduce manual handoff and preserve review control.
SIG-0195,2026-03-28,AGT-004,support escalation,Customer operations,6.5,5.8,7.4,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0196,2026-03-29,AGT-010,sales note,Product operations,7.7,6.9,3.8,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0197,2026-03-30,AGT-006,operations retro,Compliance,6.5,7.2,4.0,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0198,2026-03-31,AGT-007,quality review,Customer success,4.6,7.6,5.6,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0199,2026-04-01,AGT-010,training request,Product operations,10,10,3.7,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0200,2026-04-02,AGT-001,support escalation,Product,10,8.2,5.0,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0201,2026-04-03,AGT-007,training request,Customer success,6.6,7.0,5.9,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0202,2026-04-04,AGT-010,operations retro,Product operations,9.0,9.2,4.6,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0203,2026-04-05,AGT-004,quality review,Customer operations,6.4,7.9,5.2,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0204,2026-04-06,AGT-002,training request,Risk products,10,7.5,3.1,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0205,2026-04-07,AGT-004,training request,Customer operations,6.6,5.2,6.4,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0206,2026-04-08,AGT-004,support escalation,Customer operations,8.5,6.4,5.6,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0207,2026-04-09,AGT-001,stakeholder interview,Product,8.7,4.9,3.0,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0208,2026-04-10,AGT-002,support escalation,Risk products,9.0,5.6,6.7,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0209,2026-04-11,AGT-005,stakeholder interview,Implementation,7.4,5.3,3.3,Implementation manager needs data delivery onboarding agent to reduce manual handoff and preserve review control.
SIG-0210,2026-04-12,AGT-001,training request,Product,7.6,8.4,7.6,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0211,2026-04-13,AGT-001,quality review,Product,9.9,9.4,5.0,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0212,2026-04-14,AGT-010,operations retro,Product operations,9.6,8.7,6.3,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0213,2026-04-15,AGT-009,support escalation,Sales,8.9,6.1,7.1,Sales leader needs sales discovery call synthesizer to reduce manual handoff and preserve review control.
SIG-0214,2026-04-16,AGT-002,support escalation,Risk products,8.2,6.0,6.6,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0215,2026-04-17,AGT-002,quality review,Risk products,8.6,6.6,6.6,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0216,2026-04-18,AGT-006,stakeholder interview,Compliance,5.6,6.8,6.8,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0217,2026-04-19,AGT-010,quality review,Product operations,7.5,9.5,6.4,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0218,2026-04-20,AGT-006,quality review,Compliance,8.9,4.8,5.2,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0219,2026-04-21,AGT-002,support escalation,Risk products,8.1,7.1,6.4,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0220,2026-04-22,AGT-004,sales note,Customer operations,7.0,7.5,5.4,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0221,2026-04-23,AGT-005,sales note,Implementation,10,9.7,5.6,Implementation manager needs data delivery onboarding agent to reduce manual handoff and preserve review control.
SIG-0222,2026-04-24,AGT-006,training request,Compliance,9.7,7.4,5.8,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0223,2026-04-25,AGT-001,stakeholder interview,Product,7.7,8.2,4.9,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0224,2026-04-26,AGT-008,training request,Data operations,7.2,4.6,4.8,Data operations lead needs data quality drift digest agent to reduce manual handoff and preserve review control.
SIG-0225,2026-01-05,AGT-006,training request,Compliance,9.2,3.9,4.4,Compliance operations lead needs compliance exception review agent to reduce manual handoff and preserve review control.
SIG-0226,2026-01-06,AGT-010,quality review,Product operations,6.0,7.3,4.8,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0227,2026-01-07,AGT-005,operations retro,Implementation,9.2,6.5,6.0,Implementation manager needs data delivery onboarding agent to reduce manual handoff and preserve review control.
SIG-0228,2026-01-08,AGT-007,operations retro,Customer success,7.2,4.0,7.7,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0229,2026-01-09,AGT-010,training request,Product operations,9.7,7.8,6.0,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0230,2026-01-10,AGT-009,stakeholder interview,Sales,6.5,5.5,5.5,Sales leader needs sales discovery call synthesizer to reduce manual handoff and preserve review control.
SIG-0231,2026-01-11,AGT-007,operations retro,Customer success,7.1,7.0,6.4,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0232,2026-01-12,AGT-007,sales note,Customer success,4.8,8.1,5.1,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0233,2026-01-13,AGT-010,sales note,Product operations,10,7.4,4.6,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0234,2026-01-14,AGT-007,stakeholder interview,Customer success,5.5,6.5,6.3,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0235,2026-01-15,AGT-009,operations retro,Sales,10,7.0,6.5,Sales leader needs sales discovery call synthesizer to reduce manual handoff and preserve review control.
SIG-0236,2026-01-16,AGT-001,support escalation,Product,8.5,7.6,6.1,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0237,2026-01-17,AGT-007,support escalation,Customer success,5.8,9.2,6.2,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0238,2026-01-18,AGT-004,quality review,Customer operations,8.0,7.5,5.6,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0239,2026-01-19,AGT-003,training request,Growth product,7.6,9.0,6.6,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0240,2026-01-20,AGT-010,training request,Product operations,8.2,8.9,6.0,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0241,2026-01-21,AGT-010,training request,Product operations,7.4,7.3,6.6,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0242,2026-01-22,AGT-010,sales note,Product operations,8.8,6.8,5.0,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0243,2026-01-23,AGT-004,quality review,Customer operations,6.8,6.2,5.7,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0244,2026-01-24,AGT-002,support escalation,Risk products,8.8,8.0,4.8,Risk product lead needs fraud signal reason code agent to reduce manual handoff and preserve review control.
SIG-0245,2026-01-25,AGT-008,training request,Data operations,7.7,8.2,6.3,Data operations lead needs data quality drift digest agent to reduce manual handoff and preserve review control.
SIG-0246,2026-01-26,AGT-003,operations retro,Growth product,6.9,9.0,7.6,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0247,2026-01-27,AGT-001,operations retro,Product,7.6,4.0,6.1,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0248,2026-01-28,AGT-007,support escalation,Customer success,7.5,4.9,5.5,Enablement lead needs customer training workshop agent to reduce manual handoff and preserve review control.
SIG-0249,2026-01-29,AGT-003,training request,Growth product,7.6,3.7,3.9,Sales enablement lead needs lead builder audience qa agent to reduce manual handoff and preserve review control.
SIG-0250,2026-01-30,AGT-009,quality review,Sales,8.2,7.7,4.6,Sales leader needs sales discovery call synthesizer to reduce manual handoff and preserve review control.
SIG-0251,2026-01-31,AGT-004,quality review,Customer operations,6.1,7.7,5.9,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0252,2026-02-01,AGT-010,sales note,Product operations,8.4,6.9,5.7,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0253,2026-02-02,AGT-001,training request,Product,8.9,5.4,5.5,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0254,2026-02-03,AGT-001,training request,Product,8.9,6.6,4.8,Platform product manager needs identity resolution intake agent to reduce manual handoff and preserve review control.
SIG-0255,2026-02-04,AGT-008,stakeholder interview,Data operations,9.2,6.6,6.6,Data operations lead needs data quality drift digest agent to reduce manual handoff and preserve review control.
SIG-0256,2026-02-05,AGT-010,operations retro,Product operations,7.6,6.8,8.1,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0257,2026-02-06,AGT-010,training request,Product operations,8.8,8.4,7.0,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0258,2026-02-07,AGT-004,operations retro,Customer operations,6.8,8.0,5.0,Investigation support manager needs investigation research brief agent to reduce manual handoff and preserve review control.
SIG-0259,2026-02-08,AGT-010,operations retro,Product operations,8.3,7.5,5.6,AI program lead needs internal ai agent review coach to reduce manual handoff and preserve review control.
SIG-0260,2026-02-09,AGT-008,support escalation,Data operations,8.1,4.5,5.5,Data operations lead needs data quality drift digest agent to reduce manual handoff and preserve review control.
